        0.00000         0.00000       100.00000
        0.00000         0.05000       100.00000
        0.00000         0.10000       100.00000
        0.00000         0.15000       100.00000
        0.00000         0.20000       100.00000
        0.00000         0.25000       100.00000
        0.00000         0.30000       100.00000
        0.00000         0.35000       100.00000
        0.00000         0.40000       100.00000
        0.00000         0.45000       100.00000
        0.00000         0.50000       100.00000
        0.00000         0.55000       100.00000
        0.00000         0.60000       100.00000
        0.00000         0.65000       100.00000
        0.00000         0.70000       100.00000
        0.00000         0.75000       100.00000
        0.00000         0.80000       100.00000
        0.00000         0.85000       100.00000
        0.00000         0.90000       100.00000
        0.00000         0.95000       100.00000
        0.00000         1.00000       100.00000
        0.00000         1.05000       100.00000
        0.00000         1.10000       100.00000
        0.00000         1.15000       100.00000
        0.00000         1.20000       100.00000
        0.00000         1.25000       100.00000
        0.05000         0.00000       100.00000
        0.05000         0.05000       100.00000
        0.05000         0.10000       100.00000
        0.05000         0.15000       100.00000
        0.05000         0.20000       100.00000
        0.05000         0.25000       100.00000
        0.05000         0.30000       100.00000
        0.05000         0.35000       100.00000
        0.05000         0.40000       100.00000
        0.05000         0.45000       100.00000
        0.05000         0.50000       100.00000
        0.05000         0.55000       100.00000
        0.05000         0.60000       100.00000
        0.05000         0.65000       100.00000
        0.05000         0.70000       100.00000
        0.05000         0.75000       100.00000
        0.05000         0.80000       100.00000
        0.05000         0.85000       100.00000
        0.05000         0.90000       100.00000
        0.05000         0.95000       100.00000
        0.05000         1.00000       100.00000
        0.05000         1.05000       100.00000
        0.05000         1.10000       100.00000
        0.05000         1.15000       100.00000
        0.05000         1.20000       100.00000
        0.05000         1.25000       100.00000
        0.10000         0.00000       100.00000
        0.10000         0.05000       100.00000
        0.10000         0.10000       100.00000
        0.10000         0.15000       100.00000
        0.10000         0.20000       100.00000
        0.10000         0.25000       100.00000
        0.10000         0.30000       100.00000
        0.10000         0.35000       100.00000
        0.10000         0.40000       100.00000
        0.10000         0.45000       100.00000
        0.10000         0.50000       100.00000
        0.10000         0.55000       100.00000
        0.10000         0.60000       100.00000
        0.10000         0.65000       100.00000
        0.10000         0.70000       100.00000
        0.10000         0.75000       100.00000
        0.10000         0.80000       100.00000
        0.10000         0.85000       100.00000
        0.10000         0.90000       100.00000
        0.10000         0.95000       100.00000
        0.10000         1.00000       100.00000
        0.10000         1.05000       100.00000
        0.10000         1.10000       100.00000
        0.10000         1.15000       100.00000
        0.10000         1.20000       100.00000
        0.10000         1.25000       100.00000
        0.15000         0.00000       100.00000
        0.15000         0.05000       100.00000
        0.15000         0.10000       100.00000
